#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 275068:5020 | 06/14/16 21:09:42 | 915  | 915  | 151733692.518  | 145890403.924 |
| 275073:5020 | 06/15/16 03:32:47 | 517  | 517  | 72503656.980   | 69945928.163  |
| 275074:5020 | 06/15/16 07:00:06 | 646  | 646  | 80523110.021   | 78014694.422  |
| 275124:5021 | 06/15/16 17:50:26 | 324  | 324  | 59978768.325   | 57282239.944  |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 160052764.907  | 153206070.148 |
| 275282:5024 | 06/17/16 00:06:15 | 90   | 90   | 15958545.105   | 15120897.318  |
| 275283:5024 | 06/17/16 00:43:11 | 132  | 132  | 23908288.560   | 22765754.482  |
| 275284:5024 | 06/17/16 01:36:53 | 74   | 74   | 13124232.274   | 12635751.870  |
| 275290:5024 | 06/17/16 03:58:56 | 48   | 48   | 7826889.557    | 2724125.194   |
| 275291:5024 | 06/17/16 04:28:35 | 347  | 347  | 54355870.901   | 52618068.750  |
| 275292:5024 | 06/17/16 06:46:47 | 121  | 121  | 16753877.815   | 15968243.944  |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 26526045.049   | 25627096.583  |
| 275309:5026 | 06/17/16 13:48:15 | 563  | 563  | 87362845.578   | 84180084.990  |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | 1929 | 235746937.755  | 228559917.513 |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 113312978.963  | 110613086.238 |
| 275319:5027 | 06/18/16 18:56:15 | 142  | 142  | 26341486.164   | 24989475.511  |
| 275337:5027 | 06/18/16 21:26:04 | 427  | 427  | 72966623.834   | 70068728.197  |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 79636149.671   | 77062388.059  |
| 275344:5028 | 06/19/16 08:18:25 | 281  | 281  | 53514428.820   | 51398067.798  |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 63567312.865   | 60786304.289  |
| 275370:5029 | 06/19/16 16:19:29 | 285  | 285  | 55494709.257   | 52765296.013  |
| 275371:5029 | 06/19/16 18:16:49 | 564  | 564  | 100710700.188  | 96379521.539  |
| 275375:5030 | 06/20/16 02:17:12 | 1323 | 1323 | 218952195.951  | 210811736.697 |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | 3095 | 341868114.470  | 332911666.521 |
| 275657:5038 | 06/24/16 03:32:32 | 105  | 105  | 21937109.237   | 20104258.744  |
| 275658:5038 | 06/24/16 04:16:07 | 337  | 337  | 69497987.536   | 65783229.906  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 3357247.185    | 3242784.743   |
